博主,发布时间,文章
四川的风雨,2023-06-10 22:33:38+08:00,这点没有杂念的娱乐，可惜，中国足协做不到。
blueant空间,2023-06-10 23:59:08+08:00,这才是中国足球的希望。
予子108,2023-06-11 03:46:49+08:00,这是打篮球🏀吧！怎么变成踢⚽️出快乐了？莫名其妙
丷BREITSESTERHOF丷,2023-06-11 00:37:29+08:00,文案和评论都好搞笑，⚽和🏀都分不清😓
林运鸿,2023-06-10 22:56:17+08:00,因为热爱，简单而纯粹，单纯且永不退色[666]
请不要喊我全名,2023-06-10 22:17:53+08:00,感觉他们可能会比那些解说员更懂篮球[doge]
种花家的摩羯女,2023-06-11 07:58:05+08:00,真的好羡慕这种城市氛围！这才是家乡的样子！
是浴霸吧,2023-06-10 22:34:02+08:00,你的篮球是用踢的？[二哈]
白日梦神仙,2023-06-11 09:16:34+08:00,[good]
Lin夏天的夏天,2023-06-11 07:44:42+08:00,篮球是打怎么踢呢[费解][费解]
马六98108,2023-06-10 22:35:23+08:00,人家在打篮球，怎么踢出快乐，望赐教
款款升晴,2023-06-10 22:31:21+08:00,搁这说谁不纯粹呢？[doge]
lwtx35781,2023-06-11 12:58:19+08:00,屯堡的嬢嬢们
周橡寿,2023-06-10 22:20:34+08:00,黄种人就不要打篮球了，没有美感和爆发力，打打乒乓和太极下下象棋不好吗
张运松·,2023-06-10 22:08:54+08:00,这才是体育的意义，以人为本。而不是那些所谓的职业联赛，脑子里想的全都是怎么圈钱
小市民很老,2023-06-11 20:57:40+08:00,晚上好！[赞][赞啊][嘻嘻]
兴茹你愿,2023-06-10 09:23:41+08:00,不要拿业余挑战职业
随波逐流有主见的少校,2023-06-10 13:44:56+08:00,什么都扯体制？非洲有些国家，还天天闹饥荒呢。也是体制的错吗？足球本来就是一项娱乐运动，既然是娱乐，跟体制有啥关系。
三班老杨,2023-06-10 09:18:58+08:00,资本的触手还没能伸到乡村足球
中关村隐士,2023-06-10 17:26:45+08:00,和体制有屁关系。举国体制的时候，国家队是亚洲强队。
成都葫芦,2023-06-10 09:32:56+08:00,解散足协
HOG-Youth18774,2023-06-10 12:36:40+08:00,本来就是个游戏。
见相非相铲屎官,2023-06-11 07:48:16+08:00,踢足球是真的要经济基础的，我们会强起来的
英格玛888,2023-06-10 09:40:56+08:00,是足球体制
爱以须横天下,2023-06-10 23:28:31+08:00,他们不会承认错误的，因为要承担责任
跑跑跳跳蹦蹦颠颠摇摇晃晃,2023-06-10 15:51:09+08:00,榕江村超也是在体制内
瞌睡有点多,2023-06-12 02:16:44+08:00,体制只有足球吗？
秀宝的nuna,2023-06-11 10:47:54+08:00,我们都知道就是它们不知道
神聊小宝,2023-06-11 10:48:21+08:00,欧洲的足球体制没问题吧？欧洲的华人够多吧？可也出不了一个华人足球明星。
MiCo小虾米,2023-06-11 01:58:37+08:00,体制是一部分，内部管理混乱走后门，贪污腐败到骨子里d
sx点石成金,2023-06-10 22:07:43+08:00,你们真不行@中国足协
寂寞-流水,2023-06-11 00:43:48+08:00,让一群不懂足球的人搞得乌烟瘴气的
红尘易老天男老,2023-06-11 05:18:53+08:00,只要他们插手的事情没有一件能办好的
华丰酒庄,2023-06-12 19:49:15+08:00,问题是真正想踢球的，根本吃不开
wsxq000,2023-06-12 10:15:40+08:00,这可能是进世界杯的希望吗？
Owen-順德,2023-06-11 12:45:49+08:00,看彭伟国年代就知道不是我们球员行，是贪腐太厉害
BilyTong,2023-06-10 17:19:27+08:00,这氛围和巴西有一拼了
具体来说有点黑,2023-06-12 20:17:37+08:00,不可能，你不爱国，很危险。
楚夜樱花,2023-06-11 16:33:35+08:00,职业[允悲][允悲][允悲][允悲]
不可思议之追星,2023-06-11 10:19:32+08:00,一个游戏而已。马岛拿不回，阿根廷人永远是阳萎，拿了世界杯也只不过吃了一粒伟哥[doge]
hqhzfzmx,2023-06-10 22:58:25+08:00,三观正，足球才会有希望
京鸿儒影,2023-06-10 22:13:47+08:00,我们有村超就够了
时也变局,2023-06-10 10:14:11+08:00,中国人本性不是掠夺，是坚守
离睡饱差了那么一个回笼觉,2023-06-11 00:10:41+08:00,靠单一人种能在奥运会拿到金牌奖牌榜前二，就说明中国人的体质是顶尖的
阿尔卑的猫_uou,2023-06-12 19:13:45+08:00,希望这些村超队伍能参加职业联赛，检验一下，到时候就能知道怎么回事了
纳豆老师,2023-06-12 10:20:29+08:00,解散中超，搞大区联赛，或者省际联赛，让更多有足球天赋的运动员有展示的机会。打破垄断。
该用户已经宕机,2023-06-12 09:11:13+08:00,发展大众体育，搞好精神文明建设，靠一个职业赛事确实作用有限，下沉下去才行
玲儿响叮当咚咚嗡嗡,2023-06-11 23:31:31+08:00,瞎说啥大实话[允悲]
火花石1975,2023-06-11 15:15:09+08:00,就算是体制没问题，一旦商业化沾了钱，那就有问题了。
芝麻酱蘸糖,2023-06-11 12:58:04+08:00,是环境叫球迷和媒体变得不伦不类，叫本就飘的球员，更加不知所谓
psycho_star,2023-06-11 01:18:27+08:00,何止足球。。只不过，足球被谈论地最多罢了。中国男子球类集体项目全部缺席东京奥运会，说明了什么？我们从小就很少参与竞技体育集体比赛，集体项目更多地是靠团队合作去赢得胜利。看看奥运会就知道，我们并不擅长集体项目[doge]而且人参与的越多的项目成绩越差。。
星光闪亮222,2023-06-12 11:08:27+08:00,和淄博烧烤没有本质区别。老百姓热闹高兴，就挺好。
我爱我的祖国XS,2023-06-11 13:16:52+08:00,让足协不要来嚯嚯我们贵州了
大橙子哈哈哈哈哈,2023-06-11 10:54:44+08:00,可能是没吃海参的原因[doge]
咖啡绿茶爱好者,2023-06-11 09:31:27+08:00,什么体制问题，你想说什么，又想破坏这安定繁荣的社会？[二哈]
宇萱工作室,2023-06-11 06:26:15+08:00,是的，足协就是中国足球的罪魁祸首！
麦田的泪,2023-06-10 21:05:43+08:00,别啥都定体问，难道村超不是这个体质下的
-赤阑桥-,2023-06-10 14:25:13+08:00,足球是个群众运动，搞成官办一直都搞不好...
MasKinG·,2023-06-14 23:09:03+08:00,这个问题大家都知道 但是为什么总是一笔带过呢 解决不了的始终都解决不了[doge]
caspak-小幽灵,2023-06-14 19:05:50+08:00,“足邪”要去调研了，村超要完了
ID注册已满,2023-06-14 15:26:20+08:00,你让这些人去踢中超啊
Dangerousboy-jun,2023-06-13 09:22:08+08:00,其实足球这么些年真没有做出什么实质上的改变，可以说是非常的不职业。足球是需要回归民间，回归本质。或许足协看了以后会做出正确的安排~毕竟就中国这么大的土地，真需要足协这种组织牵头去建设中国足球的职业化联赛和梯队，让老百姓喜爱足球，踢得起足球，看得到踢足球的希望。
Dangerousboy-jun,2023-06-13 09:22:03+08:00,其实不是说村超职业化程度和球员能力比得过足协的各级联赛~他扇了足协一巴掌的原因是忘记了足球发展的自然规律~就是踢足球就是纯粹的喜欢足球，全民参与足球，各级各地方的足球比赛，校园足球等，中国需要这么一片足球的土壤，需要种子发芽，再进补中国各级职业化联赛，这样中国足球何尝不发展呢？
w-kung,2023-06-13 09:14:06+08:00,不是足球体制有问题！是体制有问题！
将军令00000,2023-06-13 09:04:06+08:00,官僚体制教育制度都有问题！！！
落入海中的卡夫卡,2023-06-13 08:49:33+08:00,我不理解，足球为什么能扯到“中国人体质”上？足球不好咋了嘛？跟“中国人体质”有个P关系。至于推广足球，目的只能是强身健体，以其他目的推广都会让其他运动觉得不公平
s马冬梅,2023-06-13 08:34:29+08:00,太对了，啥玩意功利了也就没有当初的味道了
李呀李呀李先生,2023-06-13 00:09:54+08:00,[笑cry]
初学者的阳光,2023-06-12 22:16:53+08:00,本来就是，个个千万身价出轨的出轨，还踢个屁
